ID_Venta,Fecha,ID_Producto,ID_Cliente,Cantidad,Precio_Unitario,Costo_Unitario,Descuento_Aplicado
V079,2023-10-10,P010,C001,2,180.00,95.00,0.00
V080,2023-12-28,P012,C025,30,25.00,12.00,0.10
V081,2024-02-15,P001,C010,2,1250.00,900.00,0.00
V082,2024-03-25,P007,C005,4,365.00,210.00,0.00
V083,2024-05-15,P011,C018,3,670.00,400.00,0.05
V084,2024-07-01,P014,C022,50,16.00,8.00,0.00
V085,2024-08-20,P017,C033,5,125.00,60.00,0.00
V086,2024-10-10,P009,C001,8,98.00,40.00,0.12
V087,2024-12-15,P003,C012,10,48.00,20.00,0.00
V088,2025-01-20,P006,C025,1,2200.00,1500.00,0.05
V089,2023-01-25,P020,C005,10,75.00,35.00,0.00
V090,2023-03-30,P016,C015,1,900.00,700.00,0.00
V091,2023-05-12,P001,C030,1,1200.50,900.00,0.05
V092,2023-07-05,P002,C012,2,850.00,600.00,0.00
V093,2023-09-18,P007,C001,2,350.00,210.00,0.00
V094,2023-11-25,P011,C022,5,650.00,400.00,0.10
V095,2024-01-15,P015,C040,1,3350.00,2400.00,0.00
V096,2024-04-05,P004,C018,4,160.00,80.00,0.00
V097,2024-06-20,P008,C005,10,130.00,45.00,0.08
V098,2024-09-10,P019,C025,2,285.00,190.00,0.00
V099,2024-12-05,P010,C010,3,190.00,95.00,0.00
V100,2025-02-12,P001,C001,1,1250.00,900.00,0.00
